#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 05 20 00 50 124  4.0  5.3  1.95  9.09  6.83  52 1015.5  23.9  26.0  21.4 99.0 99.00
2012 05 20 01 50 132  5.1  6.6  1.76  9.09  6.54  59 1015.8  24.2  26.0  21.7 99.0 99.00
2012 05 20 02 50 131  6.4  7.5  1.77  9.09  6.41  36 1016.2  24.1  25.9  21.8 99.0 99.00
2012 05 20 03 50 128  5.4  7.0  1.86  7.69  6.55  76 1016.4  24.0  26.0  22.8 99.0 99.00
2012 05 20 04 50 123  4.2  5.4  1.88  9.09  6.60  27 1016.2  24.1  25.9  23.0 99.0 99.00
2012 05 20 05 50 149  3.5  4.3  1.73  9.09  6.58  31 1015.7  24.4  25.9  21.6 99.0 99.00
2012 05 20 06 50 166  6.9 10.6  1.81  8.33  6.36  66 1015.5  22.4  25.8  20.0 99.0 99.00
2012 05 20 07 50 209  3.2  4.1  1.75 10.00  6.77   8 1015.2  23.9  25.7  21.7 99.0 99.00
2012 05 20 08 50 230  2.3  3.1  1.87  9.09  6.84  19 1015.0  24.7  25.7  20.6 99.0 99.00
2012 05 20 09 50 173  1.5  2.1  1.86  8.33  6.92 353 1015.1  24.6  25.7  20.6 99.0 99.00
2012 05 20 10 50 105  5.0  6.3  1.83  8.33  6.78  52 1015.4  23.9  25.8  21.7 99.0 99.00
2012 05 20 11 50 126  4.8  5.8  1.81  9.09  6.93  32 1015.6  23.6  25.8  22.3 99.0 99.00
2012 05 20 12 50 124  5.1  6.5  2.03  8.33  7.21 157 1015.7  22.8  25.7  21.5 99.0 99.00
2012 05 20 13 50 140  3.8  4.8  1.68  8.33  6.71 118 1015.8  23.4  25.8  20.4 99.0 99.00
2012 05 20 14 50 159  3.1  4.1  1.82  8.33  7.11  52 1016.1  24.1  25.8  19.6 99.0 99.00
2012 05 20 15 50  97  5.6  6.6  1.96  8.33  7.12 121 1016.6  23.5  26.0  20.6 99.0 99.00
2012 05 20 16 50 102  2.3  3.6  1.80 10.81  6.99 340 1016.8  23.8  26.1  18.9 99.0 99.00
2012 05 20 17 50 120  4.6  5.6  1.68  7.14  6.89 100 1016.9  23.7  26.1  20.2 99.0 99.00
2012 05 20 18 50 122  5.4  6.4  1.74  7.69  6.94  83 1016.5  23.8  26.2  20.2 99.0 99.00
2012 05 20 19 50  87  5.0  6.1  1.63  8.33  6.79  66 1015.4  23.5  26.2  20.6 99.0 99.00
2012 05 20 20 50 100  5.6  6.5  1.70  8.33  6.92 100 1015.9  23.4  26.1  21.3 99.0 99.00
2012 05 20 21 50 104  5.0  6.3  1.46 10.00  6.27 344 1015.7  23.6  26.1  19.8 99.0 99.00
2012 05 20 22 50 119  5.4  6.5  1.58 11.43  6.73 341 1015.6  23.3  26.1  19.6 99.0 99.00
2012 05 20 23 50 127  5.8  7.3  1.50 12.12  6.37 349 1015.5  23.2  26.0  19.7 99.0 99.00
2012 05 21 00 50 156  4.6  6.4  1.61 11.43  6.35 343 1015.9  23.1  26.0  19.6 99.0 99.00
2012 05 21 01 50 158  4.3  5.9  1.57  7.69  6.45  82 1015.9  23.3  25.9  19.6 99.0 99.00
2012 05 21 02 50 166  2.5  3.7  1.46 10.81  6.20 340 1016.2  23.3  25.9  19.8 99.0 99.00
2012 05 21 03 50 149  1.9  3.3  1.60  8.33  6.56  94 1016.4  23.3  25.8  19.8 99.0 99.00
2012 05 21 04 50  63  0.9  2.1  1.52 10.81  6.50 350 1016.2  23.3  25.8  19.9 99.0 99.00
2012 05 21 05 50  75  3.0  4.1  1.62  8.33  6.71  80 1015.6  23.4  25.8  19.4 99.0 99.00
2012 05 21 06 50  72  3.0  4.1  1.62  8.33  6.45  79 1015.0  23.1  25.7  18.3 99.0 99.00
2012 05 21 07 50  79  2.0  3.0  1.62  8.33  6.41 114 1014.4  22.7  25.7  19.1 99.0 99.00
2012 05 21 08 50 113  1.1  2.3  1.47  8.33  6.31 102 1014.4  22.6  25.6  19.6 99.0 99.00
2012 05 21 09 50  69  0.8  1.7  1.45  8.33  6.28  89 1014.6  22.6  25.6  19.7 99.0 99.00
2012 05 21 10 50 360  0.5  1.4  1.46  7.69  6.42  70 1015.3  23.2  25.6  19.6 99.0 99.00
2012 05 21 11 50   7  2.1  3.0  1.38  7.69  6.47  76 1015.7  23.1  25.7  19.5 99.0 99.00
2012 05 21 12 50  27  2.8  3.4  1.33  7.69  6.36  92 1016.0  23.1  25.7  19.7 99.0 99.00
2012 05 21 13 50  69  2.5  3.6  1.35  8.33  6.33 107 1015.7  23.1  25.8  19.5 99.0 99.00
2012 05 21 14 50  89  2.1  3.0  1.55  8.33  6.68 102 1015.6  23.4  26.0  19.6 99.0 99.00
2012 05 21 15 50 151  2.0  2.8  1.46  8.33  6.54 132 1015.5  23.5  26.2  19.6 99.0 99.00
2012 05 21 16 50 175  2.2  3.0  1.44  7.69  6.36 118 1015.4  23.7  26.5  19.6 99.0 99.00
2012 05 21 17 50 210  2.7  3.9  1.50  8.33  6.56 117 1015.2  23.9  26.6  20.1 99.0 99.00
2012 05 21 18 50 182  2.3  3.9  1.54  8.33  6.64 127 1014.6  24.2  26.7  19.9 99.0 99.00
2012 05 21 19 50 191  2.1  3.1  1.74  8.33  6.98 123 1013.9  24.6  26.8  19.5 99.0 99.00
2012 05 21 20 50 194  2.4  3.2  1.48  8.33  6.80 121 1014.0  24.6  26.9  19.5 99.0 99.00
2012 05 21 21 50 198  2.9  4.4  1.67  9.09  7.06 109 1013.6  24.6  26.6  20.2 99.0 99.00
2012 05 21 22 50 153  2.6  4.1  1.62  8.33  7.16 114 1013.3  24.5  26.5  20.4 99.0 99.00
2012 05 21 23 50 184  5.6  6.9  1.77  9.09  7.38 126 1013.7  24.8  26.3  21.0 99.0 99.00
2012 05 22 00 50 154  6.5  8.1  1.94  9.09  7.44 126 1013.4  24.7  26.2  21.1 99.0 99.00
2012 05 22 01 50 149  7.6  8.9  1.88  9.09  6.95 130 1013.5  24.6  26.0  21.2 99.0 99.00
2012 05 22 02 50 134  8.0 10.2  2.04  9.09  7.17 125 1013.2  24.7  26.0  22.2 99.0 99.00
2012 05 22 03 50 146  9.4 11.0  2.12  9.09  6.83 133 1012.8  24.8  25.9  22.4 99.0 99.00
2012 05 22 04 50 149 10.9 13.4  2.51 10.00  6.87 133 1011.9  24.9  25.8  21.9 99.0 99.00
2012 05 22 05 50 149 11.7 14.1  2.44 10.00  6.22 130 1010.9  24.9  25.7  22.0 99.0 99.00
2012 05 22 06 50 168 11.7 15.1  2.68 10.00  5.75 129 1010.2  24.6  25.6  21.2 99.0 99.00
2012 05 22 07 50 185 12.4 14.7  2.74  9.09  5.67 125 1009.7  24.2  25.4  21.7 99.0 99.00
2012 05 22 08 50 199 12.7 16.0  3.28  9.09  6.18 135 1008.9  24.6  25.4  21.9 99.0 99.00
2012 05 22 09 50 202 10.8 13.1  3.25  9.09  6.01 137 1008.2  24.6  25.3  22.7 99.0 99.00
2012 05 22 10 50 270  9.7 12.1  3.09  8.33  6.41 193 1009.7  24.6  25.3  21.3 99.0 99.00
2012 05 22 11 50 262 10.6 12.8  2.19  7.69  5.75 198 1011.3  24.1  25.3  21.6 99.0 99.00
2012 05 22 12 50 279 10.0 12.1  2.14  9.09  5.52 113 1011.8  24.2  25.3  21.3 99.0 99.00
2012 05 22 13 50 290  9.6 11.7  1.98  7.14  5.15 166 1012.9  24.2  25.3  20.9 99.0 99.00
2012 05 22 14 50 287 10.1 12.0  2.09  9.09  5.41 108 1013.0  24.5  25.3  20.9 99.0 99.00
2012 05 22 15 50 288  8.4 10.4  1.97 10.00  5.57 117 1013.7  24.6  25.3  21.0 99.0 99.00
2012 05 22 16 50 270  7.4  8.9  1.75  7.14  5.57 163 1013.8  24.7  25.4  21.0 99.0 99.00
2012 05 22 17 50 265  6.5  8.0  1.56  9.09  5.35 111 1013.9  24.8  25.4  21.2 99.0 99.00
2012 05 22 18 50 261  5.3  6.5  1.56  9.09  5.56 122 1013.9  25.0  25.5  20.9 99.0 99.00
2012 05 22 19 50 248  4.8  5.9  1.66  9.09  6.07 122 1013.6  24.9  25.6  21.2 99.0 99.00
2012 05 22 20 50 246  4.9  6.1  1.69  9.09  6.33 123 1013.4  25.0  25.7  21.0 99.0 99.00
2012 05 22 21 50 253  5.4  6.5  1.56  9.09  6.29 124 1013.7  25.2  25.7  20.4 99.0 99.00
2012 05 22 22 50 244  4.9  6.1  1.48  9.09  6.47 122 1013.7  25.1  25.7  20.5 99.0 99.00
2012 05 22 23 50 236  4.8  5.8  1.54  9.09  6.63 119 1014.3  24.9  25.7  20.4 99.0 99.00
2012 05 23 00 50 243  4.0  5.0  1.60  9.09  6.70 128 1014.7  25.0  25.6  20.6 99.0 99.00
2012 05 23 01 50 213  3.5  4.2  1.53  8.33  6.65 117 1015.4  25.1  25.5  21.2 99.0 99.00
2012 05 23 02 50 211  6.1  7.2  1.30  8.33  6.29 114 1015.4  25.3  25.5  21.0 99.0 99.00
2012 05 23 03 50 211  7.2  8.6  1.38  9.09  6.19 124 1015.2  25.1  25.4  21.3 99.0 99.00
2012 05 23 04 50 207  7.1  8.1  1.39  9.09  5.87 126 1015.1  25.0  25.4  21.2 99.0 99.00
2012 05 23 05 50 206  7.6  8.7  1.38  8.33  5.57 122 1014.8  24.9  25.4  21.4 99.0 99.00
2012 05 23 06 50 202  7.0  8.1  1.32  9.09  5.42 112 1014.6  24.8  25.5  21.1 99.0 99.00
2012 05 23 07 50 209  7.0  8.2  1.23  9.09  5.61 117 1014.6  24.8  25.6  21.6 99.0 99.00
2012 05 23 08 50 212  7.3  8.7  1.36  9.09  5.70 115 1014.4  24.9  25.5  21.4 99.0 99.00
2012 05 23 09 50 210  6.9  8.0  1.34  8.33  5.56 115 1015.0  25.0  25.6  21.5 99.0 99.00
2012 05 23 10 50 210  7.6  9.0  1.43  9.09  5.49 121 1015.4  25.2  25.5  21.4 99.0 99.00
2012 05 23 11 50 214  7.0  8.2  1.40  9.09  5.56 124 1015.8  25.2  25.6  21.5 99.0 99.00
2012 05 23 12 50 225  6.5  7.7  1.33  8.33  5.66 111 1016.4  25.4  25.6  21.4 99.0 99.00
2012 05 23 13 50 296  8.3 11.5  1.32  9.09  5.85 135 1016.9  23.8  25.6  20.6 99.0 99.00
2012 05 23 14 50 328  2.0  2.6  1.16  9.09  5.60 118 1017.1  24.3  25.7  19.4 99.0 99.00
2012 05 23 15 50 162  2.5  3.3  1.22  9.09  5.91 110 1017.5  24.5  25.7  19.5 99.0 99.00
2012 05 23 16 50 149  6.0  7.4  1.31  9.09  6.12 114 1016.7  24.5  25.8  20.6 99.0 99.00
2012 05 23 17 50 152  9.5 11.3  1.55  9.09  5.79 130 1016.2  24.0  25.8  19.5 99.0 99.00
2012 05 23 18 50 152  9.8 11.2  1.70  7.14  5.51 305 1016.0  23.8  25.8  19.9 99.0 99.00
2012 05 23 19 50 146 10.9 12.6  1.97  7.14  5.50 305 1015.4  23.7  25.7  19.7 99.0 99.00
2012 05 23 20 50 140  9.8 11.5  1.75  7.14  5.20 238 1015.4  23.6  25.8  19.1 99.0 99.00
2012 05 23 21 50 143 10.7 12.5  1.70  7.69  5.17 291 1015.7  23.5  25.8  19.4 99.0 99.00
2012 05 23 22 50 160 10.0 11.6  1.49  8.33  4.70 130 1015.8  23.6  25.8  21.1 99.0 99.00
2012 05 23 23 50 170 10.5 12.8  1.71  7.69  4.95  88 1015.9  23.9  25.7  21.5 99.0 99.00
2012 05 24 00 50 174 10.6 12.4  1.70  7.14  5.05 275 1016.1  24.4  25.8  21.8 99.0 99.00
2012 05 24 01 50 187 10.6 12.5  1.80  5.88  4.96 161 1016.8  24.7  25.8  21.9 99.0 99.00
2012 05 24 02 50 180 10.3 11.9  1.91  6.25  5.01 171 1016.8  24.5  25.8  21.9 99.0 99.00
2012 05 24 03 50 183  8.8 10.2  1.97  6.67  5.10 197 1017.0  24.4  25.8  22.1 99.0 99.00
2012 05 24 04 50 179  8.8 10.7  1.89  6.25  5.21 179 1016.9  24.5  25.9  22.1 99.0 99.00
2012 05 24 05 50 181  9.2 10.6  1.81  8.33  5.28 122 1017.1  24.6  25.9  21.9 99.0 99.00
2012 05 24 06 50 176  7.9  9.0  1.81  8.33  5.45 124 1016.9  24.8  25.8  21.9 99.0 99.00
2012 05 24 07 50 173  8.0  9.5  1.75  9.09  5.38 117 1017.0  24.7  25.7  22.1 99.0 99.00
2012 05 24 08 50 159  8.5 10.1  1.72  6.25  5.42 157 1016.8  24.6  25.7  22.4 99.0 99.00
2012 05 24 09 50 158  8.2 10.2  1.75  6.67  5.49 184 1017.3  24.6  25.7  22.5 99.0 99.00
2012 05 24 10 50 146  8.6  9.7  1.78  6.25  5.69 180 1017.4  24.7  25.8  22.7 99.0 99.00
2012 05 24 11 50 146  7.8  9.6  1.70  8.33  5.41 114 1018.0  24.8  25.8  23.1 99.0 99.00
2012 05 24 12 50 142  7.2  8.4  1.75  9.09  5.63 111 1018.4  24.8  25.8  23.1 99.0 99.00
2012 05 24 13 50 132  8.0  9.2  1.60  9.09  5.43 129 1018.2  24.9  25.8  23.3 99.0 99.00
2012 05 24 14 50 141  7.3  8.9  1.67  9.09  5.59 108 1018.4  24.9  25.8  23.0 99.0 99.00
2012 05 24 15 50 119  6.3  7.9  1.56  8.33  5.37  85 1018.6  23.9  25.8  21.4 99.0 99.00
2012 05 24 16 50 146  7.8  9.2  1.58  6.25  5.53 142 1018.6  24.2  25.9  22.6 99.0 99.00
2012 05 24 17 50 136  8.3  9.8  1.42  9.09  5.35 120 1018.3  24.4  25.9  22.4 99.0 99.00
